Ingredients
"Hylian Rice
Goat Butter
Rock Salt
Razorclaw Crab"
"Razorclaw Crab 
Goron Spice"
"Mighty Porgy x2 
Mighty Thistle 
Bird Egg 
Goron Spice"
"Tabantha Wheat
Goat Butter
Mighty Porgy x3"
"Hylian Rice 
Mighty Thistle x4"
"Mighty Bananas
Tabantha Wheat
Cane Sugar"
"Mighty Bananas
Razorshroom
Hyrule Herb
Mighty Thistle"
Mighty Bananas
Mighty Bananas x2
Mighty Bananas x3
Mighty Bananas x4
Mighty Bananas x5
"Mighty Bananas x4 
Monster Extract"
"Bird Egg 
Razorclaw Crab"
"Mighty Bananas
Mighty Thistle
Mighty Carp
Razorclaw Crab"
"Bird Egg 
Hyrule Herb
Razorclaw Crab"
"Mighty Carp x2
Razorshroom x2
Hylian Rice"
"Hylian Rice
Razorclaw Crab x4"
"Mighty Bananas 
Razorshroom
Raw Gourmet Meat 
Goron Spice
Rock Salt"
"Mighty Bananas x3 
Mighty Carp
Raw Meat"
"Mighty Bananas
Mighty Thistle
Raw Prime Meat
Mighty Porgy
Razorclaw Crab"
"Mighty Bananas
Mighty Thistle
Raw Prime Meat
Mighty Porgy
Hylian Rice"
"Mighty Bananas x2
Mighty Thistle
Fresh Milk"
